last_email,weekend,same_day,avg_email_sent,opened_email,row_num,discount%,max_purchase_discount,last_pos_email,avg_days_between_purchases,purchase
1,0,0,64.5,0,131,10.0,10.0,130,2.0,1
0,0,0,12.0,0,26,0.0,15.0,2,0.0,0
0,0,0,0.0,0,145,0.0,0.0,146,0.0,0
1,0,0,2.6923076923076925,1,48,0.0,15.0,31,7.25,1
1,1,1,2.8461538461538463,1,50,0.0,0.0,4,7.416666666666667,1
0,0,0,25.0,0,26,15.0,40.0,3,0.0,0
0,0,0,65.57142857142857,0,466,15.0,15.0,91,40.833333333333336,0
0,0,0,0.0,0,129,15.0,0.0,130,0.0,0
1,0,0,3.4285714285714284,1,31,0.0,0.0,1,13.666666666666666,1
1,0,0,11.333333333333334,1,259,15.0,15.0,105,10.2,1
0,0,0,22.5,0,94,0.0,10.0,23,130.33333333333334,1
0,0,0,0.0,1,221,0.0,0.0,222,0.0,0
0,0,0,64.0,0,1040,15.0,0.0,41,36.73333333333333,0
1,0,0,40.5,0,166,0.0,0.0,163,2.333333333333333,1
0,0,0,9.0,0,10,10.0,10.0,10,0.0,1
0,0,0,91.0,0,92,15.0,15.0,92,0.0,1
1,0,1,1.7777777777777777,1,25,0.0,0.0,0,10.375,1
0,0,0,35.0,0,72,0.0,15.0,15,204.0,1
0,0,0,39.333333333333336,1,242,0.0,0.0,93,37.8,0
1,0,1,4.958333333333333,0,143,10.0,15.0,40,7.130434782608695,1
0,0,0,154.6,1,778,0.0,0.0,245,60.0,0
0,0,0,50.21052631578947,0,973,15.0,15.0,155,41.333333333333336,1
0,0,0,0.0,1,6,10.0,0.0,7,0.0,0
0,0,0,9.5,1,21,0.0,0.0,18,2.0,1
0,0,0,0.0,0,105,0.0,0.0,106,0.0,0
0,0,0,14.090909090909092,1,166,15.0,15.0,126,4.9,1
0,0,0,0.0,0,163,10.0,0.0,164,0.0,0
1,0,1,31.25,1,129,10.0,10.0,125,0.6666666666666666,1
0,0,0,22.33333333333333,1,280,0.0,0.0,135,24.818181818181817,1
0,0,0,4.333333333333333,0,16,0.0,0.0,1,2.5,0
1,0,1,2.0,1,21,15.0,15.0,15,1.1666666666666667,1
0,0,0,0.0,1,171,15.0,0.0,172,0.0,0
1,0,1,7.4,1,84,0.0,0.0,6,15.0,1
0,0,0,0.0,0,25,15.0,0.0,26,0.0,0
1,0,1,18.5,1,39,15.0,15.0,38,0.0,1
0,0,0,238.0,1,239,15.0,25.0,81,0.0,0
0,0,0,17.8,1,94,15.0,0.0,20,17.75,0
0,0,0,11.0,0,12,0.0,0.0,12,0.0,1
0,0,0,64.0,0,390,0.0,0.0,85,60.6,1
0,0,0,121.0,0,610,15.0,0.0,3,35.5,0
0,0,0,0.0,0,337,10.0,0.0,338,0.0,0
0,0,0,47.13333333333333,0,1444,15.0,15.0,200,29.27586206896552,0
0,0,0,179.57142857142858,1,1264,0.0,10.0,641,71.5,0
0,0,0,65.14285714285714,1,463,15.0,15.0,230,3.6666666666666665,0
0,0,0,1.0,1,0,0.0,0.0,0,0.0,1
0,0,0,0.0,0,143,0.0,0.0,144,0.0,0
0,0,0,18.0,1,19,15.0,15.0,19,0.0,1
0,0,0,82.0,0,83,15.0,15.0,83,0.0,1
0,0,0,23.2,0,242,0.0,10.0,35,7.333333333333333,0
0,0,0,62.5,0,254,10.0,10.0,85,79.0,1
0,0,0,0.0,0,17,15.0,0.0,18,0.0,0
0,0,0,10.6,1,58,10.0,20.0,18,0.5,0
0,0,0,20.0,0,21,10.0,10.0,21,0.0,1
1,0,1,21.09090909090909,1,243,0.0,0.0,18,34.4,1
0,0,0,80.91666666666667,0,983,15.0,0.0,25,48.54545454545455,0
0,0,0,0.0,1,145,10.0,0.0,146,0.0,0
0,0,0,93.15,1,1883,10.0,0.0,113,25.73684210526316,0
0,0,0,12.88888888888889,0,125,15.0,15.0,85,1.125,0
0,0,0,0.0,0,44,15.0,0.0,45,0.0,0
0,0,0,1.0,1,0,10.0,10.0,0,0.0,1
1,0,0,73.85714285714286,1,524,0.0,15.0,18,26.0,0
0,1,0,59.0,1,300,10.0,0.0,26,221.75,1
0,0,0,12.666666666666666,0,41,0.0,20.0,36,0.0,0
1,0,1,1.2,1,22,15.0,15.0,13,0.8888888888888888,1
0,0,0,25.88888888888889,0,484,15.0,15.0,13,10.705882352941176,1
1,0,1,21.12,0,553,15.0,15.0,70,38.75,1
0,0,0,20.0,0,63,15.0,0.0,26,0.0,0
1,0,0,15.6,0,664,0.0,15.0,77,14.923076923076923,1
1,0,0,0.5,0,3,15.0,15.0,2,1.0,1
0,0,0,32.53333333333333,0,503,15.0,0.0,20,30.5,0
1,0,1,27.6,1,143,15.0,15.0,139,0.25,1
0,0,0,25.625,0,213,15.0,10.0,12,29.0,0
1,1,1,0.6666666666666666,1,5,10.0,10.0,3,0.0,1
0,0,0,51.25,0,418,15.0,0.0,50,29.714285714285715,0
0,0,0,4.333333333333333,0,16,0.0,0.0,4,18.5,1
0,0,0,0.5,0,3,0.0,15.0,0,0.0,0
0,0,0,8.0,1,45,15.0,15.0,37,2.25,1
1,0,1,3.25,1,17,0.0,0.0,14,2.333333333333333,1
0,0,0,52.0,0,265,0.0,0.0,81,70.0,1
1,0,0,12.7,1,137,0.0,15.0,73,41.888888888888886,1
1,0,0,28.25,1,117,10.0,0.0,51,60.333333333333336,1
0,0,0,55.16666666666666,0,337,10.0,0.0,205,13.6,0
0,0,0,64.33333333333333,0,196,0.0,0.0,156,42.0,1
0,0,0,49.75,0,406,15.0,15.0,43,89.85714285714286,0
0,0,0,49.8,0,254,10.0,15.0,183,7.5,0
0,0,0,37.42105263157895,0,730,0.0,0.0,42,67.38888888888889,1
0,0,0,1.0,1,0,0.0,0.0,0,0.0,1
1,0,1,193.5,1,389,0.0,0.0,388,0.0,1
0,0,0,51.25,1,209,10.0,15.0,27,170.33333333333334,0
0,0,0,46.0,0,329,15.0,15.0,230,3.6666666666666665,0
0,0,0,18.0,1,19,0.0,0.0,19,0.0,1
0,0,0,0.0,1,26,15.0,0.0,27,0.0,0
1,0,1,4.4,1,27,15.0,15.0,1,4.0,1
0,0,0,85.0,0,86,0.0,0.0,86,0.0,1
0,0,0,115.5,0,233,15.0,0.0,70,0.0,0
0,0,0,1.0,1,2,25.0,25.0,2,0.0,1
1,0,1,22.5,1,94,15.0,15.0,77,2.333333333333333,1
0,0,0,19.0,0,20,0.0,0.0,14,0.0,0
0,0,0,0.0,0,2,10.0,0.0,3,0.0,0
0,0,0,0.0,0,309,0.0,0.0,310,0.0,0
0,0,0,0.0,0,86,15.0,0.0,87,0.0,0
0,0,0,0.0,0,114,10.0,0.0,115,0.0,0
1,0,0,25.285714285714285,0,184,15.0,15.0,162,14.0,1
0,0,0,34.0,0,210,0.0,15.0,159,98.2,1
1,0,1,99.0,0,600,15.0,15.0,274,47.0,1
0,0,0,0.0,0,522,15.0,0.0,523,0.0,0
0,0,0,0.0,0,6,15.0,0.0,7,0.0,0
0,0,0,0.0,0,15,0.0,0.0,16,0.0,0
0,0,0,114.6,0,1156,10.0,15.0,200,72.55555555555556,1
0,0,0,0.0,1,5,15.0,0.0,6,0.0,0
0,0,0,0.0,0,262,0.0,0.0,263,0.0,0
0,0,0,1.0,1,0,20.0,20.0,0,0.0,1
0,1,0,6.0,1,7,10.0,10.0,7,0.0,1
0,0,0,44.75,1,183,0.0,0.0,95,37.333333333333336,1
0,0,0,1.0,1,0,0.0,0.0,0,0.0,1
1,0,1,65.25,1,265,15.0,15.0,126,57.333333333333336,1
0,0,0,67.0,1,136,10.0,10.0,134,2.0,1
0,0,0,104.0,0,210,0.0,10.0,134,2.0,0
0,0,0,0.0,0,54,10.0,0.0,55,0.0,0
0,0,0,76.42857142857143,1,1084,0.0,0.0,85,105.53846153846152,1
1,0,0,18.0,0,57,15.0,15.0,55,1.0,1
0,0,0,134.0,1,135,20.0,15.0,91,0.0,0
0,0,0,29.666666666666668,0,92,0.0,15.0,80,0.0,0
1,0,1,29.15384615384616,1,392,0.0,0.0,163,95.25,1
0,0,0,101.0,0,408,0.0,0.0,4,366.0,0
0,0,0,3.0,1,8,15.0,15.0,2,48.0,1
1,0,1,41.16666666666666,1,253,15.0,15.0,71,80.4,1
0,0,0,0.0,0,148,10.0,0.0,149,0.0,0
0,0,0,43.66666666666666,0,134,15.0,10.0,6,0.0,0
0,0,0,47.642857142857146,1,681,15.0,15.0,44,84.46153846153847,1
0,0,0,235.0,1,236,0.0,0.0,179,0.0,0
0,1,0,0.0,0,1,0.0,0.0,1,0.0,1
0,0,0,126.42857142857144,0,892,0.0,0.0,370,35.666666666666664,0
0,0,0,125.75,0,507,0.0,0.0,31,107.0,0
0,0,0,72.33333333333333,1,220,10.0,15.0,81,26.0,0
0,0,0,51.0,0,52,10.0,15.0,0,0.0,0
0,0,0,0.0,0,1,10.0,0.0,2,0.0,0
0,0,0,57.0,0,58,20.0,20.0,58,0.0,1
0,0,0,86.0,1,348,20.0,10.0,177,249.66666666666663,1
0,0,0,180.66666666666663,0,545,0.0,0.0,370,1.0,0
0,1,0,49.6,1,253,20.0,0.0,215,92.25,1
1,0,1,11.0,1,24,0.0,0.0,23,0.0,1
0,0,0,38.130434782608695,0,900,15.0,15.0,32,66.27272727272727,0
0,0,0,1.0,0,0,0.0,0.0,0,0.0,1
0,0,0,0.0,0,280,10.0,0.0,281,0.0,0
1,0,1,70.6923076923077,1,932,0.0,0.0,41,45.75,1
0,0,0,72.7,0,737,0.0,15.0,163,110.44444444444444,1
0,0,0,0.0,1,20,0.0,0.0,21,0.0,0
1,0,1,4.285714285714286,1,37,15.0,15.0,31,0.5,1
0,0,0,0.0,1,157,0.0,0.0,158,0.0,0
1,1,1,46.142857142857146,0,660,15.0,15.0,8,29.692307692307693,1
0,0,0,0.0,1,182,0.0,0.0,183,0.0,0
0,0,0,293.0,0,588,0.0,0.0,52,0.0,0
0,0,0,0.0,0,8,10.0,0.0,9,0.0,0
1,0,1,0.5,1,9,10.0,10.0,4,1.4,1
0,0,0,18.4,0,582,0.0,15.0,2,18.379310344827587,1
0,0,0,0.0,0,15,20.0,0.0,16,0.0,0
1,0,0,42.27272727272727,1,476,15.0,0.0,21,96.4,0
0,0,0,17.428571428571427,0,129,15.0,0.0,103,19.83333333333333,0
1,0,1,29.904761904761905,0,649,0.0,15.0,467,26.95,1
