,users,users_received_1,campaign_type_1,opened_1,camp_volume_1,users_received_8,campaign_type_8,opened_8,camp_volume_8,users_received_16,campaign_type_16,opened_16,camp_volume_16,disc1_pre_3days,disc1_pre_6day,disc1_pre_14dat,disc2_pre_4days,disc2_pre_7day,disc2_pre_14day,disc3_pre_1day,disc4_pre_2day,disc5_pre_1day,disc5_pre_13day,products_pre_3days,products_pre_7day,products_pre_14day,new_users_pre_3days,new_users_pre_7day,new_users_pre_14day,volume_pre_3days,volume_pre_7day,volume_pre_14day,full_revenue_pre_3days,full_revenue_pre_7day,full_revenue_pre_14day,year,month
204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,1.0,1.0,4.0,1.0,3.0,8500.0,2400.0,10700.0,2015,12
205,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,11900.0,7400.0,2200.0,2015,12
206,2.0,134.0,1.0,36.0,134.0,132.0,3.0,43.0,132.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,1.0,2.0,3.0,0.0,5.0,6.0,1.0,15900.0,14000.0,2400.0,2015,12
207,0.0,4.0,1.0,3.0,4.0,26.0,2.0,5.0,26.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,1.0,0.0,6.0,2.0,1.0,18400.0,7600.0,2000.0,2015,12
208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,3.0,46.0,127.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,3.0,2.0,1.0,3.0,5.0,1.0,3.0,18825.0,2000.0,8200.0,2015,12
210,2.0,100.0,2.0,22.0,100.0,134.0,1.0,36.0,134.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,3.0,0.0,1.0,7.0,1.0,2.0,25825.0,2500.0,7825.0,2015,12
211,1.0,126.0,13.0,46.0,127.0,4.0,1.0,3.0,4.0,132.0,3.0,43.0,132.0,3.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,1.0,2.0,1.0,1.0,8.0,2.0,1.0,25400.0,5400.0,2400.0,2015,12
212,3.0,133.0,2.0,37.0,134.0,27.0,1.0,15.0,27.0,26.0,2.0,5.0,26.0,2.0,1.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,1.0,1.0,1.0,7.0,2.0,2.0,18900.0,8000.0,7400.0,2015,12
213,1.0,111.0,4.0,32.0,112.0,99.0,1.0,25.0,99.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,4.0,1.0,0.0,3.0,8.0,2.0,6.0,22750.0,5000.0,14000.0,2015,12
214,4.0,59.0,1.0,3.0,59.0,0.0,0.0,0.0,0.0,29.0,2.0,7.0,29.0,2.0,1.0,0.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,1.0,2.0,3.0,1.0,1.0,9.0,1.0,2.0,26100.0,5825.0,7600.0,2015,12
