,volume,disc1,disc2,disc3,disc4,disc5,users
982,4,3.0,1.0,0.0,0.0,0.0,4
983,8,4.0,2.0,2.0,0.0,0.0,6
984,8,2.0,4.0,2.0,0.0,0.0,6
985,7,3.0,3.0,1.0,0.0,0.0,7
986,19,6.0,13.0,0.0,0.0,0.0,14
987,5,1.0,3.0,1.0,0.0,0.0,5
988,6,2.0,3.0,0.0,0.0,1.0,6
989,6,4.0,1.0,1.0,0.0,0.0,5
990,2,2.0,0.0,0.0,0.0,0.0,2
991,5,2.0,3.0,0.0,0.0,0.0,5
992,9,5.0,2.0,2.0,0.0,0.0,9
993,4,3.0,1.0,0.0,0.0,0.0,4
994,12,7.0,4.0,1.0,0.0,0.0,11
995,1,0.0,1.0,0.0,0.0,0.0,1
996,4,2.0,2.0,0.0,0.0,0.0,3
997,6,3.0,2.0,1.0,0.0,0.0,5
998,9,3.0,3.0,3.0,0.0,0.0,8
999,10,6.0,0.0,4.0,0.0,0.0,10
1000,6,4.0,2.0,0.0,0.0,0.0,6
1001,8,3.0,3.0,2.0,0.0,0.0,7
1002,11,2.0,6.0,3.0,0.0,0.0,9
1003,4,1.0,3.0,0.0,0.0,0.0,4
1004,9,2.0,4.0,3.0,0.0,0.0,9
1005,11,6.0,3.0,2.0,0.0,0.0,11
1006,10,5.0,3.0,2.0,0.0,0.0,9
1007,2,0.0,2.0,0.0,0.0,0.0,2
1008,9,5.0,2.0,1.0,0.0,1.0,9
1009,7,4.0,2.0,1.0,0.0,0.0,6
1010,3,2.0,1.0,0.0,0.0,0.0,3
1011,4,2.0,1.0,1.0,0.0,0.0,4
1012,10,3.0,6.0,1.0,0.0,0.0,8
1013,11,5.0,4.0,2.0,0.0,0.0,10
1014,10,5.0,5.0,0.0,0.0,0.0,8
1015,15,7.0,7.0,1.0,0.0,0.0,14
1016,8,2.0,4.0,2.0,0.0,0.0,8
1017,6,0.0,3.0,2.0,1.0,0.0,6
1018,3,0.0,3.0,0.0,0.0,0.0,2
1019,8,2.0,6.0,0.0,0.0,0.0,8
1020,8,2.0,6.0,0.0,0.0,0.0,8
1021,5,4.0,1.0,0.0,0.0,0.0,5
1022,10,6.0,4.0,0.0,0.0,0.0,10
1023,3,1.0,2.0,0.0,0.0,0.0,3
1024,4,1.0,3.0,0.0,0.0,0.0,4
1025,2,0.0,2.0,0.0,0.0,0.0,2
1026,5,2.0,2.0,1.0,0.0,0.0,5
1027,19,7.0,11.0,1.0,0.0,0.0,17
1028,6,4.0,2.0,0.0,0.0,0.0,6
1029,11,3.0,7.0,1.0,0.0,0.0,11
1030,2,0.0,1.0,1.0,0.0,0.0,2
1031,3,0.0,2.0,1.0,0.0,0.0,2
1032,3,1.0,2.0,0.0,0.0,0.0,3
1033,5,2.0,2.0,1.0,0.0,0.0,4
1034,8,2.0,6.0,0.0,0.0,0.0,8
1035,6,1.0,5.0,0.0,0.0,0.0,6
1036,7,3.0,4.0,0.0,0.0,0.0,7
1037,9,7.0,2.0,0.0,0.0,0.0,9
1038,3,1.0,2.0,0.0,0.0,0.0,3
1039,4,0.0,2.0,2.0,0.0,0.0,4
1040,5,3.0,1.0,1.0,0.0,0.0,4
1041,12,6.0,3.0,3.0,0.0,0.0,12
1042,9,4.0,5.0,0.0,0.0,0.0,8
1043,12,3.0,5.0,4.0,0.0,0.0,12
1044,6,5.0,1.0,0.0,0.0,0.0,6
1045,5,1.0,4.0,0.0,0.0,0.0,4
1046,3,1.0,2.0,0.0,0.0,0.0,3
1047,3,0.0,2.0,1.0,0.0,0.0,2
1048,9,1.0,8.0,0.0,0.0,0.0,9
1049,7,3.0,4.0,0.0,0.0,0.0,7
1050,7,3.0,4.0,0.0,0.0,0.0,7
1051,7,4.0,3.0,0.0,0.0,0.0,7
1052,2,2.0,0.0,0.0,0.0,0.0,2
1053,8,2.0,4.0,2.0,0.0,0.0,7
1054,6,3.0,2.0,1.0,0.0,0.0,6
1055,6,1.0,5.0,0.0,0.0,0.0,6
1056,7,2.0,5.0,0.0,0.0,0.0,7
1057,14,6.0,7.0,0.0,0.0,1.0,13
1058,4,1.0,2.0,1.0,0.0,0.0,4
1059,2,2.0,0.0,0.0,0.0,0.0,2
1060,10,4.0,4.0,2.0,0.0,0.0,6
1061,12,4.0,6.0,2.0,0.0,0.0,12
1062,13,5.0,3.0,5.0,0.0,0.0,11
1063,6,1.0,5.0,0.0,0.0,0.0,5
1064,10,3.0,7.0,0.0,0.0,0.0,9
1065,3,0.0,3.0,0.0,0.0,0.0,3
1066,2,0.0,1.0,1.0,0.0,0.0,2
1067,4,1.0,3.0,0.0,0.0,0.0,4
1068,10,7.0,3.0,0.0,0.0,0.0,9
1069,12,6.0,5.0,1.0,0.0,0.0,11
1070,3,1.0,2.0,0.0,0.0,0.0,3
1071,7,3.0,4.0,0.0,0.0,0.0,7
1072,4,1.0,2.0,1.0,0.0,0.0,4
1073,3,2.0,0.0,1.0,0.0,0.0,3
1074,3,1.0,2.0,0.0,0.0,0.0,3
1075,8,5.0,2.0,1.0,0.0,0.0,8
1076,9,2.0,7.0,0.0,0.0,0.0,8
1077,11,2.0,8.0,1.0,0.0,0.0,11
1078,7,0.0,3.0,4.0,0.0,0.0,7
1079,2,0.0,2.0,0.0,0.0,0.0,2
1080,2,1.0,1.0,0.0,0.0,0.0,2
1081,5,2.0,2.0,1.0,0.0,0.0,4
1082,8,4.0,4.0,0.0,0.0,0.0,8
1083,1,0.0,1.0,0.0,0.0,0.0,1
1084,9,2.0,5.0,2.0,0.0,0.0,8
1085,5,2.0,2.0,1.0,0.0,0.0,5
1086,6,2.0,4.0,0.0,0.0,0.0,6
1087,3,1.0,1.0,1.0,0.0,0.0,3
1088,2,2.0,0.0,0.0,0.0,0.0,2
1089,6,0.0,4.0,2.0,0.0,0.0,6
1090,6,1.0,4.0,1.0,0.0,0.0,5
1091,2,1.0,1.0,0.0,0.0,0.0,2
1092,8,1.0,6.0,1.0,0.0,0.0,7
1093,3,1.0,2.0,0.0,0.0,0.0,3
1094,5,1.0,3.0,1.0,0.0,0.0,5
1095,2,0.0,2.0,0.0,0.0,0.0,2
1096,5,1.0,3.0,1.0,0.0,0.0,5
1097,11,2.0,8.0,1.0,0.0,0.0,10
1098,3,1.0,1.0,1.0,0.0,0.0,2
1099,6,4.0,2.0,0.0,0.0,0.0,6
1100,6,4.0,0.0,2.0,0.0,0.0,6
1101,3,2.0,1.0,0.0,0.0,0.0,3
1102,7,3.0,2.0,2.0,0.0,0.0,6
1103,4,1.0,1.0,2.0,0.0,0.0,3
1104,4,1.0,3.0,0.0,0.0,0.0,4
1105,12,4.0,6.0,1.0,0.0,1.0,10
1106,14,6.0,7.0,1.0,0.0,0.0,13
1107,1,0.0,1.0,0.0,0.0,0.0,1
1108,4,2.0,2.0,0.0,0.0,0.0,4
1109,1,0.0,1.0,0.0,0.0,0.0,1
1110,16,4.0,9.0,3.0,0.0,0.0,16
1111,12,5.0,4.0,3.0,0.0,0.0,10
1112,6,1.0,4.0,1.0,0.0,0.0,6
1113,9,4.0,5.0,0.0,0.0,0.0,8
1114,9,4.0,4.0,1.0,0.0,0.0,9
1115,7,3.0,2.0,2.0,0.0,0.0,6
1116,5,2.0,3.0,0.0,0.0,0.0,5
1117,9,4.0,4.0,1.0,0.0,0.0,7
1118,6,1.0,4.0,1.0,0.0,0.0,6
1119,4,2.0,2.0,0.0,0.0,0.0,4
1120,5,2.0,2.0,1.0,0.0,0.0,5
1121,5,3.0,2.0,0.0,0.0,0.0,5
1122,5,1.0,4.0,0.0,0.0,0.0,5
1123,2,0.0,2.0,0.0,0.0,0.0,2
1124,11,3.0,5.0,3.0,0.0,0.0,11
1125,8,3.0,5.0,0.0,0.0,0.0,8
1126,10,2.0,6.0,2.0,0.0,0.0,9
1127,8,3.0,4.0,1.0,0.0,0.0,8
1128,8,5.0,3.0,0.0,0.0,0.0,8
1129,3,2.0,1.0,0.0,0.0,0.0,3
1130,1,1.0,0.0,0.0,0.0,0.0,1
1131,6,0.0,5.0,1.0,0.0,0.0,5
1132,7,2.0,4.0,1.0,0.0,0.0,6
1133,7,3.0,3.0,1.0,0.0,0.0,5
1134,13,5.0,6.0,2.0,0.0,0.0,12
1135,6,0.0,4.0,2.0,0.0,0.0,4
1136,4,2.0,0.0,2.0,0.0,0.0,4
1137,2,0.0,1.0,1.0,0.0,0.0,2
1138,9,2.0,6.0,1.0,0.0,0.0,8
1139,7,1.0,6.0,0.0,0.0,0.0,7
1140,10,2.0,4.0,4.0,0.0,0.0,9
1141,10,0.0,7.0,2.0,0.0,1.0,9
1142,8,1.0,6.0,1.0,0.0,0.0,8
1143,10,3.0,6.0,1.0,0.0,0.0,9
1144,8,2.0,5.0,0.0,1.0,0.0,8
1145,10,5.0,4.0,1.0,0.0,0.0,9
1146,10,4.0,6.0,0.0,0.0,0.0,10
1147,7,0.0,6.0,0.0,0.0,1.0,7
1148,10,7.0,2.0,1.0,0.0,0.0,10
1149,11,2.0,7.0,2.0,0.0,0.0,10
1150,8,3.0,4.0,1.0,0.0,0.0,6
1151,5,2.0,1.0,1.0,0.0,1.0,5
1152,13,7.0,5.0,1.0,0.0,0.0,13
1153,5,3.0,1.0,0.0,1.0,0.0,4
1154,15,6.0,8.0,1.0,0.0,0.0,12
1155,16,2.0,9.0,5.0,0.0,0.0,16
1156,7,2.0,2.0,3.0,0.0,0.0,6
1157,2,1.0,0.0,1.0,0.0,0.0,2
1158,9,3.0,5.0,1.0,0.0,0.0,8
1159,11,3.0,7.0,1.0,0.0,0.0,11
1160,11,2.0,8.0,1.0,0.0,0.0,11
1161,10,1.0,5.0,4.0,0.0,0.0,8
1162,8,2.0,4.0,2.0,0.0,0.0,8
1163,6,1.0,3.0,2.0,0.0,0.0,6
1164,1,1.0,0.0,0.0,0.0,0.0,1
1165,5,1.0,2.0,2.0,0.0,0.0,4
1166,9,4.0,3.0,2.0,0.0,0.0,8
1167,15,2.0,9.0,4.0,0.0,0.0,14
1168,14,5.0,6.0,3.0,0.0,0.0,11
1169,15,5.0,9.0,1.0,0.0,0.0,13
1170,9,1.0,7.0,0.0,0.0,1.0,9
1171,3,1.0,1.0,1.0,0.0,0.0,3
1172,11,1.0,7.0,3.0,0.0,0.0,10
1173,7,1.0,4.0,2.0,0.0,0.0,7
1174,9,3.0,5.0,1.0,0.0,0.0,9
1175,6,1.0,5.0,0.0,0.0,0.0,6
1176,7,2.0,2.0,1.0,1.0,1.0,6
1177,9,1.0,8.0,0.0,0.0,0.0,9
1178,4,2.0,0.0,2.0,0.0,0.0,3
1179,14,5.0,7.0,1.0,1.0,0.0,13
1180,12,3.0,8.0,0.0,1.0,0.0,10
1181,12,6.0,5.0,1.0,0.0,0.0,12
1182,10,4.0,4.0,2.0,0.0,0.0,10
1183,11,4.0,6.0,1.0,0.0,0.0,10
1184,11,2.0,7.0,2.0,0.0,0.0,11
1185,3,1.0,2.0,0.0,0.0,0.0,2
1186,5,3.0,2.0,0.0,0.0,0.0,5
1187,12,1.0,8.0,3.0,0.0,0.0,11
1188,14,9.0,4.0,1.0,0.0,0.0,11
1189,2,1.0,1.0,0.0,0.0,0.0,2
1190,11,2.0,6.0,3.0,0.0,0.0,10
1191,9,0.0,2.0,6.0,0.0,1.0,9
1192,5,1.0,4.0,0.0,0.0,0.0,5
1193,2,1.0,1.0,0.0,0.0,0.0,2
1194,11,3.0,6.0,2.0,0.0,0.0,9
1195,11,2.0,3.0,6.0,0.0,0.0,9
1196,9,2.0,5.0,2.0,0.0,0.0,8
1197,16,3.0,12.0,0.0,1.0,0.0,12
1198,11,7.0,3.0,1.0,0.0,0.0,11
1199,6,4.0,1.0,0.0,1.0,0.0,6
1200,9,4.0,4.0,0.0,0.0,1.0,9
1201,7,3.0,1.0,3.0,0.0,0.0,7
1202,8,2.0,5.0,1.0,0.0,0.0,8
1203,14,2.0,8.0,4.0,0.0,0.0,12
1204,11,3.0,5.0,3.0,0.0,0.0,9
1205,9,1.0,5.0,3.0,0.0,0.0,8
1206,5,2.0,2.0,1.0,0.0,0.0,4
1207,10,2.0,6.0,2.0,0.0,0.0,9
1208,10,3.0,6.0,1.0,0.0,0.0,10
1209,14,2.0,5.0,7.0,0.0,0.0,13
1210,12,3.0,7.0,2.0,0.0,0.0,11
1211,7,3.0,4.0,0.0,0.0,0.0,7
1212,9,6.0,1.0,1.0,1.0,0.0,8
1213,9,2.0,6.0,1.0,0.0,0.0,8
1214,9,2.0,5.0,2.0,0.0,0.0,8
1215,17,4.0,8.0,5.0,0.0,0.0,15
1216,9,4.0,5.0,0.0,0.0,0.0,9
1217,8,2.0,5.0,1.0,0.0,0.0,8
1218,10,2.0,6.0,2.0,0.0,0.0,9
1219,3,1.0,2.0,0.0,0.0,0.0,3
1220,3,0.0,2.0,1.0,0.0,0.0,2
1221,11,6.0,4.0,1.0,0.0,0.0,10
1222,10,3.0,5.0,2.0,0.0,0.0,10
1223,14,4.0,8.0,2.0,0.0,0.0,12
1224,8,3.0,4.0,1.0,0.0,0.0,8
1225,8,4.0,2.0,2.0,0.0,0.0,8
1226,16,4.0,11.0,1.0,0.0,0.0,16
1227,11,3.0,7.0,0.0,1.0,0.0,8
1228,13,3.0,7.0,3.0,0.0,0.0,12
1229,21,2.0,15.0,4.0,0.0,0.0,19
1230,22,2.0,13.0,7.0,0.0,0.0,17
1231,16,3.0,9.0,4.0,0.0,0.0,10
1232,19,3.0,11.0,5.0,0.0,0.0,15
